City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Zetaquira,CO,76.08,overcast clouds,5.2822,-73.169,Hotel Campestre Las Heliconias
188,Buchanan,LR,82.22,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
193,Ormara,PK,83.48,clear sky,25.2088,64.6357,Kenara Colony house for Rent
195,Korla,CN,73.67,overcast clouds,41.7597,86.1469,Gulisitan Hotel
196,Hambantota,LK,80.1,overcast clouds,6.1241,81.1185,Bungalow 63
198,Shieli,KZ,73.22,overcast clouds,44.1667,66.75,Gostinitsa Aybek Shieli
201,Kisangani,CD,76.95,broken clouds,0.5167,25.2,Grand Ramela Hotel
203,Balkanabat,TM,76.12,few clouds,39.5108,54.3671,Nebitchi Hotel
205,Cartagena Del Chaira,CO,84.47,light rain,1.3349,-74.8429,HOTEL LA ROCA
207,Riohacha,CO,88.25,overcast clouds,11.5444,-72.9072,Hotel Taroa
208,Nandigama,IN,87.69,clear sky,16.7833,80.3,M.G palace
209,Marsh Harbour,BS,79.81,light rain,26.5412,-77.0636,Abaco Beach Resort
212,New Waterford,US,82.63,broken clouds,40.8451,-80.6145,Pleasant Valley Mobile Home
213,Faya,SA,75.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
214,Takoradi,GH,82.02,scattered clouds,4.8845,-1.7554,Raybow International Hotel
215,Puerto Narino,CO,74.14,heavy intensity rain,-3.7703,-70.3831,Eware Refugio Amazonico
217,Kismayo,SO,80.11,broken clouds,-0.3582,42.5454,Agan-Hotel
222,Sitges,ES,78.87,light rain,41.2351,1.8119,URH Sitges Playa
226,Baglung,NP,70.32,scattered clouds,28.2719,83.5898,Hotel Peace Palace
227,Japura,ID,78.66,broken clouds,-0.3167,102.35,Rumah mbah Jamah
228,Spartanburg,US,85.33,light rain,34.9496,-81.9321,Spartanburg Marriott
231,Sao Filipe,CV,78.04,broken clouds,14.8961,-24.4956,Hotel Xaguate
232,Port-De-Bouc,FR,79.75,clear sky,43.4,4.9833,HOTEL RESIDENCE LES AIGUADES
235,Bertoua,CM,75.27,light rain,4.5833,13.6833,Hotel De Paris
237,Praia,CV,88.34,clear sky,14.9215,-23.5087,LT Aparthotel
239,Verrettes,HT,88.68,overcast clouds,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
240,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
241,Abonnema,NG,80.13,light rain,4.7084,6.7931,Corper's Lodge Obonoma
242,Callaway,US,82.33,moderate rain,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
243,Sciacca,IT,73.65,scattered clouds,37.5082,13.0881,Hotel Aliai
247,Conceicao Do Araguaia,BR,86.99,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
250,Acarau,BR,83.21,overcast clouds,-2.8856,-40.12,castelo pizzaria
253,Saint-Francois,FR,72.84,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
254,Ambilobe,MG,71.47,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
256,Porto Velho,BR,89.65,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
257,Moose Factory,CA,73.4,clear sky,51.2585,-80.6094,Moosonee Lilypad
259,Salinopolis,BR,84.06,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
262,Rock Sound,BS,79.29,heavy intensity rain,24.9,-76.2,Pink Corral Bay Property
264,Meulaboh,ID,74.77,overcast clouds,4.1363,96.1285,Kost Pria
265,Cabedelo,BR,84.87,light rain,-6.9811,-34.8339,Hotel Pigalle
266,Belmonte,BR,75.9,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
267,Tupa,BR,73.38,overcast clouds,-21.9347,-50.5136,Grande Hotel Tamoios
