City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Tuatapere,-46.1333,167.6833,62.46,67,62,3.27,NZ,2022-05-06 00:14:32
68,Ushuaia,-54.8,-68.3,46.06,66,40,4.61,AR,2022-05-06 00:14:33
69,Cidreira,-30.1811,-50.2056,63.28,69,36,5.73,BR,2022-05-06 00:14:33
70,Dalvik,65.9702,-18.5286,32.56,98,99,16.58,IS,2022-05-06 00:14:34
71,College,64.8569,-147.8028,53.92,67,75,10.36,US,2022-05-06 00:14:34
72,Bambanglipuro,-7.95,110.2833,78.4,86,27,3.11,ID,2022-05-06 00:14:35
73,Kodiak,57.79,-152.4072,44.11,81,100,11.5,US,2022-05-06 00:14:35
74,Villazon,-22.0866,-65.5942,52.21,21,2,7.34,BO,2022-05-06 00:14:36
75,Port Alfred,-33.5906,26.891,70.88,45,0,6.73,ZA,2022-05-06 00:14:36
76,Dikson,73.5069,80.5464,16.72,92,100,23.51,RU,2022-05-06 00:14:37
77,Jamestown,42.097,-79.2353,58.64,58,0,8.05,US,2022-05-06 00:14:37
78,Dryden,49.7833,-92.7503,54.32,80,24,5.91,CA,2022-05-06 00:10:45
79,Lavrentiya,65.5833,-171.0,25.48,72,11,1.07,RU,2022-05-06 00:14:38
80,Sur,22.5667,59.5289,79.97,59,0,4.56,OM,2022-05-06 00:09:52
81,Alihe,50.5667,123.7167,45.52,42,100,9.01,CN,2022-05-06 00:14:38
82,Saskylakh,71.9167,114.0833,25.84,90,100,14.65,RU,2022-05-06 00:12:24
83,Cheney,47.4874,-117.5758,51.94,90,75,12.66,US,2022-05-06 00:10:07
84,Fantino,19.1215,-70.2997,78.31,94,61,1.48,DO,2022-05-06 00:14:43
85,Hermanus,-34.4187,19.2345,59.36,94,8,8.23,ZA,2022-05-06 00:14:43
86,Fort Nelson,58.8053,-122.7002,52.54,47,92,4.43,CA,2022-05-06 00:09:59
87,Boundiali,9.5217,-6.4869,76.42,66,96,4.41,CI,2022-05-06 00:14:44
88,Banda Aceh,5.5577,95.3222,78.8,86,99,13.42,ID,2022-05-06 00:14:44
89,Krasnoselkup,65.7,82.4667,16.38,86,13,4.45,RU,2022-05-06 00:15:45
90,Pochutla,15.7432,-96.4661,84.02,48,14,6.04,MX,2022-05-06 00:15:45
91,Lorengau,-2.0226,147.2712,83.17,81,71,5.93,PG,2022-05-06 00:15:45
92,Port Elizabeth,-33.918,25.5701,65.32,76,1,7.0,ZA,2022-05-06 00:13:20
93,Emerald,-23.5333,148.1667,70.34,77,22,12.53,AU,2022-05-06 00:12:40
94,Qaanaaq,77.484,-69.3632,13.8,80,5,6.4,GL,2022-05-06 00:15:46
95,Fairbanks,64.8378,-147.7164,53.94,66,75,10.36,US,2022-05-06 00:12:02
96,Stepnogorsk,52.3544,71.8869,49.3,66,48,10.49,KZ,2022-05-06 00:15:47
97,Aripuana,-9.1667,-60.6333,76.53,81,100,0.83,BR,2022-05-06 00:15:47
98,Padang,-0.9492,100.3543,77.05,87,100,3.62,ID,2022-05-06 00:15:48
99,Desna,50.9273,30.7605,40.32,72,51,6.71,UA,2022-05-06 00:15:48
100,Airai,-8.9266,125.4092,67.96,75,39,3.18,TL,2022-05-06 00:15:48
101,Butaritari,3.0707,172.7902,81.54,71,54,20.22,KI,2022-05-06 00:15:49
102,Geraldton,-28.7667,114.6,61.21,41,0,16.11,AU,2022-05-06 00:15:49
103,Ahuimanu,21.4447,-157.8378,83.91,71,75,17.27,US,2022-05-06 00:15:50
104,Krasnogorskiy,54.6025,61.231,39.0,67,60,21.65,RU,2022-05-06 00:15:50
105,Mar Del Plata,-38.0023,-57.5575,60.87,74,0,10.36,AR,2022-05-06 00:15:16
106,Mayumba,-3.432,10.6554,78.19,93,95,5.64,GA,2022-05-06 00:15:51
107,Berlevag,70.8578,29.0864,35.4,92,100,14.56,NO,2022-05-06 00:15:51
108,Bay Roberts,47.5999,-53.2648,42.51,91,100,3.0,CA,2022-05-06 00:15:51
109,Khao Yoi,13.2403,99.8243,82.98,71,97,2.62,TH,2022-05-06 00:15:52
110,Lobatse,-25.2167,25.6667,57.13,49,1,2.93,BW,2022-05-06 00:15:52
111,Rexburg,43.826,-111.7897,67.51,32,0,17.27,US,2022-05-06 00:15:53
112,San Carlos De Bariloche,-41.1456,-71.3082,47.95,76,40,12.66,AR,2022-05-06 00:15:53
113,Vardo,70.3705,31.1107,34.12,97,93,17.29,NO,2022-05-06 00:15:54
114,Faanui,-16.4833,-151.75,81.45,70,89,6.13,PF,2022-05-06 00:15:54
115,Lompoc,34.6391,-120.4579,75.34,70,0,21.0,US,2022-05-06 00:11:33
